update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
89,182272,367.4269464761798,493,0.75,0.4330127018922193,0.0,1.0,450.6875,353.8754580975488,63.0,1126.0,1.9067099690437317,0.17860990576446056,0.003324778866954148,0.004565610492136329,0.03574488991837381,1.0,0.0,1.0,1.0
90,184320,364.6051909902697,499,0.9375,0.24206145913796356,0.0,1.0,460.3125,320.7276334271028,63.0,1089.0,1.899112269282341,0.22597788646817207,-0.019207665172871202,0.011009132838808,0.0622791136007738,1.0,0.0,1.0,1.0
91,186368,365.8774936561939,504,0.9375,0.24206145913796356,0.0,1.0,364.0625,244.443876163323,97.0,934.0,1.8937142044305801,0.2105672750622034,-0.0012283622490940616,0.01084219478070736,0.057554910516008584,1.0,0.0,1.0,1.0
92,188416,367.2254003920236,510,0.75,0.4330127018922193,0.0,1.0,295.5625,262.3573347435707,59.0,934.0,1.8898970484733582,0.18979408964514732,0.002358677127631381,0.005813093448523432,0.05345051200910263,1.0,0.0,1.0,1.0
93,190464,367.186549157527,516,0.75,0.4330127018922193,0.0,1.0,259.125,222.54799341939707,59.0,934.0,1.8983418494462967,0.2448412012308836,-0.01544550433754921,0.013407025136984885,0.06871913017550906,1.0,0.0,1.0,1.0
94,192512,366.2624201107997,521,0.75,0.4330127018922193,0.0,1.0,240.75,211.0774443184302,73.0,934.0,1.913378044962883,0.19921579211950302,0.011411923391278833,0.0048139219579752535,0.03693014268597477,1.0,0.0,1.0,1.0
95,194560,368.9497669134583,527,0.5625,0.49607837082461076,0.0,1.0,221.9375,117.74414462617663,73.0,473.0,1.8857451230287552,0.2416246272623539,0.0009697324203443713,0.011760037043131888,0.056959917649501396,1.0,0.0,1.0,1.0
96,196608,365.00524808456834,532,0.5625,0.49607837082461076,0.0,1.0,248.1875,124.98910890053581,93.0,473.0,1.888603538274765,0.23809233494102955,0.008558387722587213,0.009047221683431417,0.05374371704742576,1.0,0.0,1.0,1.0
97,198656,366.4542179585606,538,0.5625,0.49607837082461076,0.0,1.0,354.5625,279.3389448210722,96.0,1335.0,1.8968216329813004,0.21064496599137783,-0.003087611112277955,0.006797226204071194,0.04505852958427485,1.0,0.0,1.0,1.0
98,200704,364.0537533909916,544,0.8125,0.3903123748998999,0.0,1.0,308.875,285.5104803242781,71.0,1335.0,1.8851308822631836,0.29461104422807693,-0.040899374056607485,0.018032055348157883,0.11038857646276243,1.0,0.0,1.0,1.0
